Date,Open,High,Low,Close,Adj Close,Volume
2013-02-05,63.435715,65.677139,63.174285999999995,65.405716,57.806129000000006,143336900
2013-02-04,64.844284,65.13428499999999,63.14285699999999,63.188572,55.846603,119279300
2013-02-01,65.58714300000001,65.639999,64.050003,64.802856,57.273327,134871100
2013-01-31,65.28286,65.611427,64.997147,65.07,57.509426,79833600
2013-01-30,65.285713,66.085716,64.928574,65.261429,57.678608,104288800
2013-01-29,65.5,65.742859,64.58856999999999,65.46714,57.86042,142789500
2013-01-28,62.547142,64.744286,62.265713,64.261429,56.7948,196379400
2013-01-25,64.52714499999999,65.175713,62.14285699999999,62.84,55.538528,302006600
2013-01-24,65.714287,66.53286,64.321426,64.35714,56.87937900000001,365213100
2013-01-23,72.687141,73.57,72.110001,73.43,64.898071,215377400
2013-01-22,72.08000200000001,72.554283,70.947144,72.110001,63.731434,115386600
2013-01-18,71.21714,71.745712,70.914284,71.428574,63.12919599999999,118230700
2013-01-17,72.90142800000001,72.964287,71.718575,71.811432,63.46756,113419600
2013-01-16,70.66285699999999,72.77714499999999,70.35714,72.298569,63.898102,172701200
2013-01-15,71.185715,71.284286,69.054283,69.41714499999999,61.351456000000006,219193100
2013-01-14,71.811432,72.5,71.215714,71.678574,63.350147,183551900
2013-01-11,74.428574,75.045715,74.145714,74.328575,65.692223,87626700
2013-01-10,75.507141,75.531425,73.645714,74.78714000000001,66.097511,150286500
2013-01-09,74.64286,75.001427,73.71285999999999,73.871429,65.288208,101901100
2013-01-08,75.601425,75.98428299999999,74.464287,75.044289,66.324783,114676800
2013-01-07,74.571426,75.614288,73.599998,74.842857,66.146751,121039100
2013-01-04,76.709999,76.947144,75.11856800000001,75.285713,66.538162,148583400
2013-01-03,78.26857,78.524284,77.285713,77.442856,68.444672,88241300
2013-01-02,79.117142,79.285713,77.37571700000001,78.432854,69.319641,140129500
2012-12-31,72.932854,76.485718,72.714287,76.024284,67.190933,164873100
2012-12-28,72.898575,73.497147,72.58856999999999,72.798569,64.339996,88569600
2012-12-27,73.362854,73.75,72.094284,73.58000200000001,65.030624,113780100
2012-12-26,74.14286,74.208572,73.017143,73.285713,64.770531,75609100
2012-12-24,74.335716,74.89286,74.101425,74.309998,65.675797,43938300
2012-12-21,73.209999,74.238571,72.891426,74.190002,65.569786,149067100
2012-12-20,75.714287,75.742859,74.12571700000001,74.53286,65.872772,120422400
2012-12-19,75.924286,76.242859,75.071426,75.187141,66.451035,112342300
2012-12-18,75.0,76.414284,74.321426,76.271431,67.409348,156421300
2012-12-17,72.704285,74.285713,71.604286,74.11856800000001,65.50663,189401800
2012-12-14,73.535713,74.01857,72.225716,72.827141,64.365257,252394800
2012-12-13,75.878571,76.805717,75.114288,75.66999799999999,66.8778,156314900
2012-12-12,78.252853,78.285713,76.610001,77.0,68.053276,121786000
2012-12-11,77.110001,78.50856800000001,76.767143,77.341431,68.355003,148086400
2012-12-10,75.0,76.93,74.511429,75.688568,66.894211,157621100
2012-12-07,79.057144,79.314285,75.714287,76.178574,67.327286,196760200
2012-12-06,75.562859,79.044289,74.089996,78.177139,69.09362,294303100
2012-12-05,81.272858,81.321426,76.96714,76.970001,68.026764,261159500
2012-12-04,83.114288,83.114288,81.732857,82.264282,72.705887,139267100
2012-12-03,84.807144,84.941429,83.64286,83.74143199999999,74.011398,91070000
2012-11-30,83.827141,84.057144,83.239998,83.611427,73.896507,97829900
2012-11-29,84.317146,84.89286,83.60714,84.194283,74.411636,128674700
2012-11-28,82.46714,83.685715,81.751427,83.27714499999999,73.60105899999999,130216100
2012-11-27,84.221428,84.345711,82.871429,83.540001,73.833359,133332500
2012-11-26,82.271431,84.285713,81.958572,84.218575,74.433098,157644900
2012-11-23,81.024284,81.714287,80.371429,81.64286,72.156685,68206600
2012-11-21,80.60714,81.052856,79.514282,80.242859,70.91933399999999,93250500
2012-11-20,81.701431,81.707146,79.225716,80.129997,70.819572,160688500
2012-11-19,77.244286,81.071426,77.12571700000001,80.818573,71.428162,205829400
2012-11-16,75.028572,75.714287,72.25,75.382858,66.624016,316723400
2012-11-15,76.790001,77.071426,74.660004,75.08856999999999,66.363922,197477700
2012-11-14,77.928574,78.207146,76.597145,76.697144,67.785583,119292600
2012-11-13,76.987144,78.639999,76.622856,77.557144,68.545677,133237300
2012-11-12,79.164284,79.214287,76.949997,77.54714200000001,68.536835,128950500
2012-11-09,77.20285799999999,79.26857,76.245712,78.15142800000001,69.0709,232478400
2012-11-08,80.089996,80.318573,76.470001,76.821426,67.895454,264036500
2012-11-07,81.977142,82.077141,79.39286,79.714287,70.45219399999999,198412200
2012-11-06,84.318573,84.391426,82.870003,83.264282,73.255089,93729300
2012-11-05,83.360001,83.96714,82.514282,83.517143,73.47758499999999,132283900
2012-11-02,85.127144,85.278572,82.10714,82.400002,72.49472800000001,149843400
2012-11-01,85.459999,86.14286,84.88143199999999,85.220001,74.975708,90324500
2012-10-31,84.982857,85.994286,83.957146,85.045715,74.822395,127500800
2012-10-26,87.061432,87.714287,84.428574,86.285713,75.91333,254608200
2012-10-25,88.571426,88.85714,86.507141,87.077141,76.609627,164081400
2012-10-24,88.77714499999999,89.507141,87.23428299999999,88.11856800000001,77.525871,139631800
2012-10-23,90.14286,90.557144,87.385712,87.622856,77.089745,176786400
2012-10-22,87.488571,90.76857,87.251427,90.575714,79.68763,136682700
2012-10-19,90.150002,90.252853,87.08856999999999,87.120003,76.647339,186021500
2012-10-18,91.370003,91.72285500000001,90.0,90.377144,79.512939,119156100
2012-10-17,92.695717,93.255714,92.0,92.08714300000001,81.017365,97259400
2012-10-16,90.767143,92.900002,90.14286,92.827141,81.66843399999999,137442900
2012-10-15,90.335716,90.732857,89.121429,90.68,79.77937299999999,108125500
2012-10-12,89.937141,90.76857,89.328575,89.958572,79.144684,115003700
2012-10-11,92.35714,92.457146,89.728569,89.728569,78.942329,136520300
2012-10-10,91.391426,92.139999,91.0,91.558571,80.552338,127589000
2012-10-09,91.235718,91.498573,89.078575,90.835716,79.916374,209649300
2012-10-08,92.41143000000001,92.50856800000001,90.872856,91.16714499999999,80.207954,159498500
2012-10-05,95.028572,95.14286,93.040001,93.227142,82.02034,148501500
2012-10-04,95.89286,96.321426,95.078575,95.257141,83.80630500000001,92681400
2012-10-03,94.980003,95.980003,94.66143000000001,95.921425,84.390739,106070300
2012-10-02,94.544289,95.192856,92.949997,94.47285500000001,83.116295,156998100
2012-10-01,95.879997,96.678574,93.785713,94.19856999999999,82.874992,135898700
2012-09-28,96.964287,97.30143000000001,95.25,95.300003,83.844002,133777700
2012-09-27,94.898575,97.45285799999999,94.335716,97.331429,85.631248,148522500
2012-09-26,95.534286,96.09857199999999,94.457146,95.025711,83.602692,144125800
2012-09-25,98.322861,98.968575,96.14286,96.220001,84.65342700000001,129697400
2012-09-24,98.122856,99.302856,97.571426,98.684288,86.821457,159941600
2012-09-21,100.344284,100.724289,99.908569,100.012856,87.990341,142897300
2012-09-20,99.879997,100.00856800000001,99.08856999999999,99.814285,87.81564300000001,84142100
2012-09-19,100.03714000000001,100.57,99.938568,100.300003,88.242981,81718700
2012-09-18,99.982857,100.33285500000001,99.488571,100.272858,88.219093,93375800
2012-09-17,99.907143,99.971428,99.230003,99.968575,87.95137,99507800
2012-09-14,98.565712,99.568573,98.269997,98.754288,86.883041,150118500
2012-09-13,96.767143,97.928574,96.395714,97.568573,85.83988199999999,149590000
2012-09-12,95.264282,95.699997,93.714287,95.684288,84.182106,178058300
2012-09-11,95.01571700000001,95.728569,93.785713,94.370003,83.025803,125995800
2012-09-10,97.207146,97.612854,94.585716,94.677139,83.296036,121999500
2012-09-07,96.864288,97.497147,96.538574,97.205711,85.520653,82416600
2012-09-06,96.16714499999999,96.898575,95.828575,96.610001,84.99652900000001,97799100
2012-09-05,96.510002,96.621429,95.657143,95.747147,84.237411,84093800
2012-09-04,95.108574,96.44856999999999,94.928574,96.424286,84.833153,91973000
2012-08-31,95.321426,95.514282,93.89286,95.034286,83.61024499999999,84580300
2012-08-30,95.805717,95.935715,94.692856,94.83856999999999,83.43804200000001,75674900
2012-08-29,96.464287,96.809998,96.085716,96.209999,84.644623,50701700
2012-08-28,96.425713,96.585716,95.809998,96.400002,84.81179,66854200
2012-08-27,97.141426,97.267143,96.220001,96.525711,84.922394,106752100
2012-08-24,94.215714,95.639999,93.650002,94.745712,83.35636099999999,109335100
2012-08-23,95.158569,95.699997,94.449997,94.66143000000001,83.28220400000001,105032200
2012-08-22,93.488571,95.571426,92.58714300000001,95.552856,84.066475,141330700
2012-08-21,95.831429,96.41143000000001,92.904289,93.72285500000001,82.456451,203179900
2012-08-20,92.858574,95.021431,92.842857,95.021431,83.598923,153346200
2012-08-17,91.428574,92.59857199999999,91.25856800000001,92.58714300000001,81.457275,110690300
2012-08-16,90.172859,90.965714,90.071426,90.905716,79.977959,63633500
2012-08-15,90.185715,90.571426,89.678574,90.11856800000001,79.285439,64335600
2012-08-14,90.267143,91.230003,90.029999,90.24143199999999,79.393532,85042300
2012-08-13,89.055717,90.0,89.035713,90.0,79.18111400000001,69708100
2012-08-10,88.387146,88.822861,88.385712,88.814285,78.13793199999999,48734700
2012-08-09,88.264282,88.818573,88.257141,88.675713,78.01602199999999,55410600
2012-08-08,88.48428299999999,89.12571700000001,88.157143,88.55143000000001,77.573624,61176500
2012-08-07,88.96714,89.285713,88.291428,88.701431,77.70504,72611700
